gene_id	gene_name	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH1_rep1	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH3_rep3	Desmarestia_dudresnayi_SxS43_RNAseq_DesmaH4_rep4
Ddudresnayi_g100	Ddudresnayi_g100	6.704926	5.21736	4.518684
Ddudresnayi_g1000	Ddudresnayi_g1000	0	0	0
Ddudresnayi_g10000	Ddudresnayi_g10000	10.568418	7.228113	6.102607
Ddudresnayi_g10001	Ddudresnayi_g10001	30.899439	30.531262	33.777455
Ddudresnayi_g10002	Ddudresnayi_g10002	44.68154	47.402231	59.690222
Ddudresnayi_g10003	Ddudresnayi_g10003	48.307814	58.03751	60.750163
Ddudresnayi_g10004	Ddudresnayi_g10004	46.825528	46.086948	37.459751
Ddudresnayi_g10005	Ddudresnayi_g10005	3.853902	5.662066	3.735898
Ddudresnayi_g10006	Ddudresnayi_g10006	113.670506	151.691881	119.238318
Ddudresnayi_g10007	Ddudresnayi_g10007	50.625897	61.87408	44.928302
Ddudresnayi_g1001	Ddudresnayi_g1001	23.884048	19.507078	23.744156
Ddudresnayi_g10010	Ddudresnayi_g10010	0	0.209418	0.062646
Ddudresnayi_g10011	Ddudresnayi_g10011	11.286954	13.927331	10.773785
Ddudresnayi_g10012	Ddudresnayi_g10012	0	0	0
Ddudresnayi_g10013	Ddudresnayi_g10013	193.638994	194.028198	164.951919
Ddudresnayi_g10014	Ddudresnayi_g10014	22.971105	24.369898	23.292424
Ddudresnayi_g10015	Ddudresnayi_g10015	10.100185	12.66172	11.57851
Ddudresnayi_g10016	Ddudresnayi_g10016	1.720998	3.93469	2.049416
Ddudresnayi_g10017	Ddudresnayi_g10017	4.428855	5.849395	4.119877
Ddudresnayi_g10018	Ddudresnayi_g10018	5.404973	6.373207	4.734947
Ddudresnayi_g1002	Ddudresnayi_g1002	24.235086	27.355321	21.566671
Ddudresnayi_g10020	Ddudresnayi_g10020	4.954961	9.035855	4.744234
Ddudresnayi_g10021	Ddudresnayi_g10021	11.066662	20.541803	11.574622
Ddudresnayi_g10022	Ddudresnayi_g10022	35.856361	36.514882	29.444737
Ddudresnayi_g10023	Ddudresnayi_g10023	3797.877185	3914.275916	3187.019667
Ddudresnayi_g10024	Ddudresnayi_g10024	14.081681	12.249579	14.09352
Ddudresnayi_g10025	Ddudresnayi_g10025	10.464792	12.695638	8.282237
Ddudresnayi_g10026	Ddudresnayi_g10026	4.708408	5.455616	3.407774
Ddudresnayi_g10027	Ddudresnayi_g10027	19.418701	20.698862	18.232342
Ddudresnayi_g10028	Ddudresnayi_g10028	8.978978	12.712824	10.845321
Ddudresnayi_g10029	Ddudresnayi_g10029	0.163301	0	0
Ddudresnayi_g1003	Ddudresnayi_g1003	18.160543	18.485096	21.741651
Ddudresnayi_g10031	Ddudresnayi_g10031	30.199809	31.956417	28.301249
Ddudresnayi_g10032	Ddudresnayi_g10032	34.772781	33.741515	29.442887
Ddudresnayi_g10033	Ddudresnayi_g10033	19.078036	22.446029	20.819133
Ddudresnayi_g10034	Ddudresnayi_g10034	59.779879	57.315911	62.286416
Ddudresnayi_g10035	Ddudresnayi_g10035	13.223904	16.821896	12.178125
Ddudresnayi_g10036	Ddudresnayi_g10036	5.131376	3.13581	5.13092
Ddudresnayi_g10037	Ddudresnayi_g10037	75.474205	86.955997	73.435139
Ddudresnayi_g10038	Ddudresnayi_g10038	42.435259	51.738656	36.759546
Ddudresnayi_g10039	Ddudresnayi_g10039	15.154656	16.875242	12.894497
Ddudresnayi_g1004	Ddudresnayi_g1004	48.736328	47.167362	43.277909
Ddudresnayi_g10040	Ddudresnayi_g10040	8.881042	7.223526	7.595781
Ddudresnayi_g10041	Ddudresnayi_g10041	21.958246	13.542279	22.508151
Ddudresnayi_g10042	Ddudresnayi_g10042	60.624253	62.77754	53.658947
Ddudresnayi_g10044	Ddudresnayi_g10044	15.151665	16.123428	14.201151
Ddudresnayi_g10045	Ddudresnayi_g10045	0.078469	0	0.069369
Ddudresnayi_g10046	Ddudresnayi_g10046	1.137618	0.408675	2.070446
Ddudresnayi_g10047	Ddudresnayi_g10047	22.000031	25.946908	27.759217
Ddudresnayi_g10048	Ddudresnayi_g10048	6.366675	4.825641	6.356224
Ddudresnayi_g10049	Ddudresnayi_g10049	166.797658	146.064052	156.840804
Ddudresnayi_g10050	Ddudresnayi_g10050	23.673006	24.702299	22.719289
Ddudresnayi_g10051	Ddudresnayi_g10051	2.360199	1.881632	2.229546
Ddudresnayi_g10052	Ddudresnayi_g10052	0.150938	0.517481	0.310409
Ddudresnayi_g10053	Ddudresnayi_g10053	1.834933	2.080685	1.754675
Ddudresnayi_g10054	Ddudresnayi_g10054	15.799291	21.662038	18.674791
Ddudresnayi_g10055	Ddudresnayi_g10055	27.072648	31.23529	26.972744
Ddudresnayi_g10056	Ddudresnayi_g10056	0	0	0
Ddudresnayi_g10057	Ddudresnayi_g10057	35.170371	41.138642	33.359216
Ddudresnayi_g10058	Ddudresnayi_g10058	43.897536	40.983535	42.565122
Ddudresnayi_g10059	Ddudresnayi_g10059	3.110993	0.867239	0.257655
Ddudresnayi_g1006	Ddudresnayi_g1006	24.851729	30.639306	20.698386
Ddudresnayi_g10060	Ddudresnayi_g10060	3.317156	0	4.745621
Ddudresnayi_g10061	Ddudresnayi_g10061	1.462859	0	1.202506
Ddudresnayi_g10062	Ddudresnayi_g10062	8.742286	11.512665	6.800252
Ddudresnayi_g10063	Ddudresnayi_g10063	10.457587	10.736134	12.162512
Ddudresnayi_g10064	Ddudresnayi_g10064	187.906531	222.264158	181.440219
Ddudresnayi_g10065	Ddudresnayi_g10065	16.592012	16.867101	14.548206
Ddudresnayi_g10066	Ddudresnayi_g10066	4.005114	6.410912	4.643843
Ddudresnayi_g10067	Ddudresnayi_g10067	17.259331	14.624179	14.481749
Ddudresnayi_g10068	Ddudresnayi_g10068	10.891475	15.050992	12.093197
Ddudresnayi_g10069	Ddudresnayi_g10069	9.84313	11.656095	9.307175
Ddudresnayi_g1007	Ddudresnayi_g1007	25.433516	22.878604	26.473373
Ddudresnayi_g10070	Ddudresnayi_g10070	17.545009	20.104172	14.659133
Ddudresnayi_g10072	Ddudresnayi_g10072	54.326554	57.252475	54.453563
Ddudresnayi_g10073	Ddudresnayi_g10073	2.180143	0.69893	1.668115
Ddudresnayi_g10074	Ddudresnayi_g10074	69.05203	64.824997	88.804483
Ddudresnayi_g10075	Ddudresnayi_g10075	19.415473	16.658545	16.071048
Ddudresnayi_g10076	Ddudresnayi_g10076	0.376393	0.818685	0.489208
Ddudresnayi_g10077	Ddudresnayi_g10077	0.187499	0	0.406198
Ddudresnayi_g10078	Ddudresnayi_g10078	0.595596	0.575198	0.515422
Ddudresnayi_g10079	Ddudresnayi_g10079	39.33679	34.098508	38.798452
Ddudresnayi_g1008	Ddudresnayi_g1008	17.456559	22.304269	17.272292
