tx	gene_id	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF1_rep1	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF3_rep3	Desmarestia_herbacea_female_SxS46_RNAseq_DesmaF4_rep4	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM2_rep2	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM3_rep3	Desmarestia_herbacea_male_SxS47_RNAseq_DesmaM4_rep4
mRNA_D-herbacea_M_contig48.11545.1	nbisL1-mrna-270	35.519823	37.832334	33.387241	14.1579	23.586658	37.594592
mRNA_D-herbacea_M_contig48.11544.1	nbisL1-mrna-271	17.554007	14.764931	17.01833	8.426958	11.534076	13.064546
mRNA_D-herbacea_M_contig48.11543.1	nbisL1-mrna-272	11.24705	13.143595	12.448538	6.801644	4.376769	8.053428
mRNA_D-herbacea_M_contig48.11542.1	nbisL1-mrna-273	53.070071	57.233731	57.468686	68.692512	60.00269	56.46773
mRNA_D-herbacea_M_contig48.11541.1	nbisL1-mrna-274	201.344054	187.219047	145.747499	383.012732	376.992346	434.87389
mRNA_D-herbacea_M_contig48.11540.1	nbisL1-mrna-275	0.038481	0.042534	0.105531	0.079141	0.132743	0.107351
mRNA_D-herbacea_M_contig48.11539.1	nbisL1-mrna-276	1.930012	3.691925	1.606352	13.570769	17.398953	12.66751
mRNA_D-herbacea_M_contig48.11538.1	nbisL1-mrna-277	1.992238	0	3.649635	2.034706	1.235075	1.937721
mRNA_D-herbacea_M_contig48.11537.1	nbisL1-mrna-278	0.764487	1.149588	0.83883	1.132567	1.12787	0.968145
mRNA_D-herbacea_M_contig48.11536.1	nbisL1-mrna-279	49.529824	51.826567	49.929019	76.798706	65.71195	67.53703
mRNA_D-herbacea_M_contig48.11535.1	nbisL1-mrna-280	144.348927	163.899517	157.490674	137.843614	128.756404	124.882085
mRNA_D-herbacea_M_contig48.11534.1	nbisL1-mrna-281	47.195672	55.588052	53.245384	30.104745	29.697013	28.958338
mRNA_D-herbacea_M_contig48.11533.1	nbisL1-mrna-282	31.923811	31.607124	34.710346	20.731099	24.17608	22.929686
mRNA_D-herbacea_M_contig48.11532.1	nbisL1-mrna-283	29.086034	28.631159	21.096793	16.374987	15.77951	12.468745
mRNA_D-herbacea_M_contig48.11531.1	nbisL1-mrna-284	11.466749	13.077962	13.45958	7.936241	9.363047	3.671644
mRNA_D-herbacea_M_contig48.11530.1	nbisL1-mrna-285	4.18772	6.735229	5.050494	3.208087	5.592497	2.648055
mRNA_D-herbacea_M_contig54.12558.1	nbisL1-mrna-286	0	0	0	0	0	0
mRNA_D-herbacea_M_contig54.12557.1	nbisL1-mrna-287	11.928096	14.394119	12.796817	8.848163	8.669775	9.345134
mRNA_D-herbacea_M_contig54.12556.1	nbisL1-mrna-288	1.136908	1.256543	1.645687	0.779284	0.689453	0.733873
mRNA_D-herbacea_M_contig54.12555.1	nbisL1-mrna-289	13.422694	13.816929	16.796581	8.444692	11.534747	9.131401
mRNA_D-herbacea_M_contig54.12554.1	nbisL1-mrna-290	15.127821	19.047082	17.3824	11.976068	13.794081	14.679087
mRNA_D-herbacea_M_contig54.12553.1	nbisL1-mrna-291	334.821161	328.897246	270.855843	266.069991	251.174889	268.333166
mRNA_D-herbacea_M_contig54.12552.1	nbisL1-mrna-292	66.405058	76.188235	62.571	101.930149	102.682778	90.917381
mRNA_D-herbacea_M_contig54.12551.1	nbisL1-mrna-293	47.060311	49.698187	50.617682	56.448316	53.501063	48.24082
