gene_id	gene_name	SRX9362922	SRX9362923	SRX9362938	SRX9362939
Ec-00_000010.1	Ec-00_000010.1	0.067354	0.200751	0.155482	0.074523
Ec-00_000020.1	Ec-00_000020.1	0	0.070928	0.170732	0.392192
Ec-00_000030.1	Ec-00_000030.1	0.095034	0.134301	0.218404	0.163461
Ec-00_000050.3	Ec-00_000050.3	1.78491	1.868603	2.483321	2.201125
Ec-00_000060.1	Ec-00_000060.1	0.353627	0.450645	0.681016	0.747256
Ec-00_000070.1	Ec-00_000070.1	1.664445	0.962603	1.192893	1.090642
Ec-00_000080.1	Ec-00_000080.1	0.416949	0.30946	0.808686	1.011612
Ec-00_000090.1	Ec-00_000090.1	5.700721	5.829011	5.712896	5.062557
Ec-00_000110.1	Ec-00_000110.1	7.115431	2.89774	4.823738	4.160396
Ec-00_000120.1	Ec-00_000120.1	1.23658	0.621964	1.971471	1.43763
Ec-00_000140.1	Ec-00_000140.1	3.692963	2.947554	3.501281	5.492816
Ec-00_000150.2	Ec-00_000150.2	7.465796	8.115773	13.042362	12.487827
Ec-00_000160.1	Ec-00_000160.1	5.728384	4.465325	4.426133	4.273903
Ec-00_000170.2	Ec-00_000170.2	1.256012	1.230169	1.283934	1.381378
Ec-00_000180.1	Ec-00_000180.1	0.449489	0.12327	0.88822	0.13629
Ec-00_000190.1	Ec-00_000190.1	1.127933	1.147587	1.170868	1.232604
Ec-00_000200.1	Ec-00_000200.1	15.270607	19.675698	19.738132	17.438864
Ec-00_000210.1	Ec-00_000210.1	26.89373	21.934475	30.350838	31.614323
Ec-00_000230.1	Ec-00_000230.1	81.567906	83.158417	59.588085	100.090689
Ec-00_000240.1	Ec-00_000240.1	0.059187	0.055413	0.393629	0.30864
Ec-00_000260.1	Ec-00_000260.1	2.086129	1.820221	0.847372	1.559674
Ec-00_000280.1	Ec-00_000280.1	3.902007	4.747913	6.391172	5.705996
Ec-00_000290.3	Ec-00_000290.3	6.959103	7.437251	9.968098	8.461913
Ec-00_000300.1	Ec-00_000300.1	0.088188	0.28299	0.30458	0.108385
Ec-00_000310.1	Ec-00_000310.1	1.709398	1.377025	1.02033	2.224608
Ec-00_000320.1	Ec-00_000320.1	221.499824	269.366736	321.503594	305.472891
