tx	gene_id	RAP10_146_Schizocladia_ischiensis_imm_mat_Thalli_1_T1	RAP10_147_Schizocladia_ischiensis_imm_mat_Thalli_2_T1	RAP10_148_Schizocladia_ischiensis_imm_mat_Thalli_3_T1	RAP9_140_Schizocladia_ischiensis_immmatThalli_1_T1	RAP9_141_Schizocladia_ischiensis_immmatThalli_2_T1	RAP9_142_Schizocladia_ischiensis_immmatThalli_3_T1
mRNA_S-ischiensis_contig1.1.1	nbisL1-mrna-7470	0	1.589682	0	0.616	0	0.564551
mRNA_S-ischiensis_contig1.2.1	nbisL1-mrna-2915	33.135345	31.324119	34.836295	17.415432	17.301412	14.674645
mRNA_S-ischiensis_contig1.3.1	nbisL1-mrna-7471	0	0	1.746651	0	1.977737	0.88542
mRNA_S-ischiensis_contig1.4.1	nbisL1-mrna-2916	18.881786	10.092016	11.824375	7.29757	11.430512	8.326671
mRNA_S-ischiensis_contig1.5.1	nbisL1-mrna-15502	164.273649	170.274196	168.085019	149.731671	151.67921	143.088068
mRNA_S-ischiensis_contig1.6.1	nbisL1-mrna-15503	20.235726	27.896439	32.489031	20.739659	20.096337	21.415709
mRNA_S-ischiensis_contig1.7.1	nbisL1-mrna-2917	108.213586	96.352489	72.756161	126.682169	118.503975	106.070536
mRNA_S-ischiensis_contig1.8.1	nbisL1-mrna-15504	226.29271	216.748492	173.865419	194.732484	192.467632	146.381107
mRNA_S-ischiensis_contig1.9.1	nbisL1-mrna-7472	169.123085	159.43399	130.255164	156.769749	158.077012	98.708765
mRNA_S-ischiensis_contig1.10.1	nbisL1-mrna-15505	32.423658	35.811634	31.762322	50.114894	50.158676	44.841
mRNA_S-ischiensis_contig1.11.1	nbisL1-mrna-15506	16.864221	18.258048	17.301245	20.393412	19.25872	20.886535
mRNA_S-ischiensis_contig1.12.1	nbisL1-mrna-15507	119.616616	125.717693	146.953564	114.642978	119.348343	130.593758
mRNA_S-ischiensis_contig1.13.1	nbisL1-mrna-15508	42.571415	46.416044	47.656392	45.647438	48.5617	45.054232
mRNA_S-ischiensis_contig1.14.1	nbisL1-mrna-2918	20.952374	18.334947	21.60838	27.561065	27.958189	24.446142
