tx	gene_id	Scytosiphon_promiscuus_A_RNAseq_ScytoA	Scytosiphon_promiscuus_asm6_male_RNAseq_ScytoM_rep1	Scytosiphon_promiscuus_B_RNAseq_ScytoB	Scytosiphon_promiscuus_C_RNAseq_ScytoC	Scytosiphon_promiscuus_D_RNAseq_ScytoD	Scytosiphon_promiscuus_mrf5_female_RNAseq_ScytoF_rep1
mRNA_S-promiscuus_M_contig2.5693.1	nbisL1-mrna-496	0.874609	0	0	0	0	0
mRNA_S-promiscuus_M_contig2.5692.1	nbisL1-mrna-497	14.586013	14.776489	17.409059	14.921352	7.047222	0
mRNA_S-promiscuus_M_contig2.5691.1	nbisL1-mrna-498	12.023114	11.996732	25.49972	12.124357	26.144954	27.626571
mRNA_S-promiscuus_M_contig2.5690.1	nbisL1-mrna-499	2.253789	2.620853	2.351455	0.282293	1.394752	5.055272
mRNA_S-promiscuus_M_contig2.5689.1	nbisL1-mrna-500	3.71243	2.473228	2.662695	0.625256	2.732734	9.72382
mRNA_S-promiscuus_M_contig2.5688.1	nbisL1-mrna-501	63.407953	57.073432	69.934742	60.007905	71.579632	67.827194
mRNA_S-promiscuus_M_contig2.5687.1	nbisL1-mrna-502	12.85185	11.636477	21.877175	11.961061	20.305624	20.505715
mRNA_S-promiscuus_M_contig2.5686.1	nbisL1-mrna-503	31.461298	31.035287	25.692601	34.417365	26.108731	22.393223
mRNA_S-promiscuus_M_contig2.5685.1	nbisL1-mrna-504	0.927151	0.514058	0.504397	0.182098	0.540324	1.509948
mRNA_S-promiscuus_M_contig2.5684.1	nbisL1-mrna-505	19.02548	18.546857	37.333039	19.970017	37.594041	38.765775
mRNA_S-promiscuus_M_contig2.5683.1	nbisL1-mrna-506	50.437615	45.826471	38.711714	46.50432	43.00653	52.208819
mRNA_S-promiscuus_M_contig2.5682.1	nbisL1-mrna-507	37.793813	42.310193	27.13196	45.420847	29.482001	35.557046
mRNA_S-promiscuus_M_contig2.5681.1	nbisL1-mrna-508	41.706505	56.223209	44.967557	53.479593	40.445238	35.974174
