gene_id	gene_name	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep1	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep2	Undaria_pinnatifida_female_PHAEO216_RNAseq__rep3	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep1	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep2	Undaria_pinnatifida_male_PHAEO216_RNAseq__rep3
XLOC_000001	XLOC_000001	53.846543	93.5884	81.0478	73.809514	70.743064	55.503269
XLOC_000002	XLOC_000002	0.391953	2.181439	1.607024	5.084099	4.502705	4.488562
XLOC_000003	XLOC_000003	7.00382	45.007924	24.611405	69.964175	55.002345	35.111096
XLOC_000004	XLOC_000004	7.576523	14.86783	14.630341	45.622046	38.812848	41.068337
XLOC_000005	XLOC_000005	3.83551	8.394203	7.253677	6.592414	7.032268	8.010116
XLOC_000006	XLOC_000006	0	0	0	0.465798	0.154554	0
XLOC_000007	XLOC_000007	8.776849	16.414302	16.977757	13.620263	10.793235	16.139156
XLOC_000008	XLOC_000008	0	0	0	0	0	0
XLOC_000009	XLOC_000009	1.562459	1.920444	2.189598	1.191692	1.073493	1.489281
XLOC_000010	XLOC_000010	0.403848	1.622797	1.004949	2.210629	2.19702	2.312548
XLOC_000011	XLOC_000011	4.629704	8.44951	7.26453	5.776824	11.616812	8.014571
XLOC_000012	XLOC_000012	0.17796	0.310743	0.643883	2.829438	1.25896	0.129654
XLOC_000013	XLOC_000013	1.338926	4.644923	3.339234	6.424569	6.948829	6.218826
XLOC_000014	XLOC_000014	0.949069	2.574472	1.787885	0.360458	0	0.665858
XLOC_000015	XLOC_000015	0	0	0.057955	0	0.17426	0.130923
XLOC_000016	XLOC_000016	0.100641	0.218499	0.113795	0.458881	0.684525	0.128007
XLOC_000017	XLOC_000017	0	0	0	0	0	0.445573
XLOC_000018	XLOC_000018	129.869374	128.927436	144.538193	78.682199	90.201514	83.830857
XLOC_000019	XLOC_000019	0.249364	0.450965	0.364013	0.437063	0.557052	0.636188
XLOC_000020	XLOC_000020	31.22557	64.572721	57.202469	87.961516	99.946405	74.76023
XLOC_000021	XLOC_000021	65.487637	81.921949	84.894198	126.309213	137.465916	149.187654
XLOC_000022	XLOC_000022	0	0	0	0	0	0.768413
XLOC_000023	XLOC_000023	19.572558	27.807715	25.605402	0.25203	0	1.015069
XLOC_000024	XLOC_000024	2.85113	15.032518	4.259328	12.883321	7.543666	14.341564
XLOC_000025	XLOC_000025	1.771081	5.401739	3.753171	11.069943	13.533493	12.30204
XLOC_000026	XLOC_000026	0	0.583642	0	0.613016	0.613615	0
XLOC_000027	XLOC_000027	0	0	0	0	0	0.933218
XLOC_000028	XLOC_000028	0	3.143318	3.410619	7.151596	7.527697	6.752154
XLOC_000029	XLOC_000029	32.098107	47.180827	47.367793	69.436833	89.883184	57.698817
XLOC_000030	XLOC_000030	10.238053	13.660138	12.280243	20.270824	21.994575	26.449271
XLOC_000031	XLOC_000031	1.353932	7.395045	4.623476	13.632524	17.12171	17.849832
XLOC_000032	XLOC_000032	1.396005	1.27475	1.040211	1.536332	1.200211	1.603273
XLOC_000033	XLOC_000033	65.861067	73.485754	66.510282	37.44528	41.074882	36.880921
XLOC_000034	XLOC_000034	21.650439	40.75051	38.020453	39.567569	41.789207	41.523035
XLOC_000035	XLOC_000035	0.973432	4.629505	3.619927	17.334612	17.529427	16.238188
XLOC_000036	XLOC_000036	0	0	0	0.097368	0	0.108646
XLOC_000037	XLOC_000037	0	0	0.298967	0	0	0
XLOC_000038	XLOC_000038	5.837808	20.222034	17.826654	26.35991	27.706521	25.328158
XLOC_000039	XLOC_000039	0	0	0.527073	0.796887	0.264799	0
XLOC_000040	XLOC_000040	2.436632	6.806577	5.267983	22.321155	24.241187	26.5326
XLOC_000041	XLOC_000041	0	0	0	0	0	0
XLOC_000042	XLOC_000042	0.326732	0.236437	0.246277	0.230418	0.864626	1.246642
XLOC_000043	XLOC_000043	0.170591	0.293223	0.719998	2.177189	2.188794	1.99485
XLOC_000044	XLOC_000044	13.245758	24.635659	20.025351	28.613588	26.350724	27.771832
XLOC_000045	XLOC_000045	0	0	0	0.108489	0	0.131782
XLOC_000046	XLOC_000046	79.340748	104.724536	94.488047	116.95048	127.310441	121.967409
XLOC_000047	XLOC_000047	0	0	0	0	0	0
XLOC_000048	XLOC_000048	0	0	0	0	0	0
XLOC_000049	XLOC_000049	0	0	0	0	0	0
XLOC_000050	XLOC_000050	0.101767	0.120172	0.11471	1.385982	3.086842	3.451426
XLOC_000051	XLOC_000051	0.122179	0.123468	0.06909	0.119987	0.194009	0.281915
XLOC_000052	XLOC_000052	0.205511	0	0	0	0.233244	0.261171
XLOC_000053	XLOC_000053	17.706652	37.290687	26.290192	19.777191	28.364608	22.949806
XLOC_000054	XLOC_000054	0	0.088739	0	0.46591	0.185356	0.416111
XLOC_000055	XLOC_000055	16.992126	32.249091	27.670344	34.594882	34.542029	25.009422
XLOC_000056	XLOC_000056	0	9.646424	4.464931	9.005474	15.822309	5.010901
XLOC_000057	XLOC_000057	2.868048	9.930352	8.491414	13.229195	17.971235	13.719203
XLOC_000058	XLOC_000058	0	0.374396	0.195009	4.207549	2.43984	6.070377
XLOC_000059	XLOC_000059	19.234017	29.082729	27.188063	42.881792	38.596328	44.280024
XLOC_000060	XLOC_000060	5.848446	14.351018	7.805669	23.032171	27.148835	22.622768
