PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
2,Ec-00_000010.1,0,0,0,0,0,0,0,0,0
1,Ec-00_000110.1,0,14.442543,11.085852,18.066451,4.529035,64.481311,18.556128,14.355904,0
7,Ec-00_000120.1,0,25.144098,19.041079,23.472558,75.780126,17.303068,20.940489,17.610764,0
2,Ec-00_000130.1,0,91.691412,130.168104,125.71039,0.664805,96.7363235,71.845455,132.141989,0
7,Ec-00_000140.1,0.065078,2.721923,2.957902,4.633287,6.659,6.867594499999999,2.471795,7.731205,0
1,Ec-00_000160.1,0,35.334043,45.717889,20.177295,0.491434,78.636031,26.339099,36.407365,0
7,Ec-00_000190.1,0,0.174156,0.205646,1.860514,0.096351,0.48016749999999997,0.232583,3.639927,0
2,Ec-00_000200.1,139.285783,305.629731,265.044314,246.771342,301.263776,93.0794495,241.638547,143.279242,0
1,Ec-00_000210.1,0,18.703899,11.82393,46.474578,75.216381,14.417252000000001,28.442966,16.433476,8.8720335
2,Ec-00_000230.1,48.877064,51.511691,37.493496,111.670454,7.098825,14.322263499999998,125.155312,78.813901,311.1824745
11,Ec-00_000240.1,0,0,0,0,0.028793,0,0,0,0
11,Ec-00_000290.3,2.32177,2.763723,1.689539,6.623781,0.420107,3.1718215,2.596636,4.263622,0
1,Ec-00_000320.1,178.46601,87.607819,102.634273,343.649722,21.752675,61.7129745,313.338731,780.305694,27.808608999999997
7,Ec-00_000340.1,0,0,0.099819,0,0,0,0,54.248845,0
7,Ec-00_000350.1,0,7.788198,11.63856,15.825461,15.167235,15.376729000000001,12.467295,16.972593,14.897643
2,Ec-00_000360.1,73.81509,13.815864,15.892405,27.743745,262.998963,13.259060999999999,34.418393,33.187444,87.697649
7,Ec-00_000390.1,0,6.55645,2.961972,38.123836,4.24378,11.853997,3.825333,11.077698,0
1,Ec-00_000410.1,0,60.153029,48.450243,34.473786,3.088527,47.384370000000004,51.069649,56.873113,0
11,Ec-00_000430.2,7.040185,4.413805,4.844474,5.774641,50.827768,3.3281755,2.09491,7.996347,14.648986
1,Ec-00_000440.1,0,10.955067,9.566665,10.236513,0.323581,24.968347,8.350258,13.739267,0
11,Ec-00_000450.1,1.237348,4.787161,4.900535,14.092178,0.544244,9.1551255,5.552926,11.933026,0
11,Ec-00_000500.2,108.425069,5.102838,4.5271420000000004,13.307493,1.104208,4.2383585,12.056628,4.922683,0
1,Ec-00_000510.1,0,2.154046,1.920547,8.109507,0.781313,4.3147415,2.501066,3.622147,0
6,Ec-00_000520.1,0,3.217125,3.962229,2.811651,15.282313,3.4884025000000003,5.071899,3.47832,0
1,Ec-00_000530.1,0,10.553087,10.484937,14.377881,0.222742,18.4839635,11.961378,18.717117,0
11,Ec-00_000540.2,225.842813,66.766057,27.437113,72.762862,10.589226,44.254279999999994,14.440783,39.179761,0.049384
1,Ec-00_000550.1,0,3.764457,4.578142,6.420648,0,4.839264,4.292264,8.296386,0
9,Ec-00_000570.1,0,35.782601,42.667631,5.147665,0,6.94042,50.312772,4.331801,0
