PS,GeneID,meiospore,immGA,matGA,oldGA,gamete,earlyPSP,immPSP,matPSP,mitospore
2,Ec-00_000010.1,0,25.407295,0,9.447753,0.269399,6.519922,0.516582,0,0
1,Ec-00_000110.1,0,9.997962,13.462327,10.452807,5.365101,18.541318,26.139259,27.451627,0
7,Ec-00_000120.1,0,24.18395,52.626315,31.53472,48.82451,15.170824,17.116293,17.784685,0
2,Ec-00_000130.1,0,137.522642,339.935292,148.632695,3.98877,25.098231,228.751994,106.662279,0
7,Ec-00_000140.1,0,3.577357,8.009963,8.49378,4.1067,12.040523,2.398937,7.70875,0
1,Ec-00_000160.1,0,55.519064,33.826902,26.457304,2.307598,22.50146,84.516584,33.071036,0
7,Ec-00_000190.1,0,3.198177,5.354302,7.857744,5.059503,5.33925,2.024522,3.833506,0
2,Ec-00_000200.1,83.839915,266.912664,308.552707,161.581464,163.938203,87.142818,202.723061,111.079272,124.395039
1,Ec-00_000210.1,0,27.4169,29.812548,32.922861,66.675355,46.479973,34.072992,26.23769,0
2,Ec-00_000230.1,0,56.755554,31.927651,36.888671,14.520738,44.931864,13.191746,79.611769,201.372106
11,Ec-00_000240.1,0.056496,11.969764,11.963572,15.622511,12.199477,7.668375,8.532494,13.33008,0.17979
11,Ec-00_000290.3,0,3.156802,4.929966,8.757088,0.71218,3.364128,3.841898,4.916857,0
1,Ec-00_000320.1,211.135807,161.612299,739.450563,315.321398,195.282542,60.016904,98.330345,162.780619,441.451239
7,Ec-00_000340.1,0,0.336815,0.2961,0,0,0,0,49.567424,0
7,Ec-00_000350.1,0,12.210942,22.885845,21.51994,53.085566,19.801434,5.862548,16.844404,0.633822
2,Ec-00_000360.1,0,16.295605,29.468712,26.801372,242.427763,41.562311,11.260288,30.65115,377.530899
7,Ec-00_000390.1,0,15.831326,26.251868,30.531935,1.02222,22.442757,14.678132,8.449806,0
1,Ec-00_000410.1,0,70.473295,36.021875,21.37426,6.383969,19.736581,46.770127,82.001117,0
11,Ec-00_000430.2,5.667872,9.691549,11.006503,10.342446,57.009812,12.086287,4.280017,9.450387,0.23139
1,Ec-00_000440.1,0,17.492675,8.496512,8.092593,0.684442,9.67818,25.515182,13.058679,0
11,Ec-00_000450.1,0,7.966012,14.944456,21.518683,0.508249,4.380767,11.522107,15.259767,0
11,Ec-00_000500.2,97.654168,11.446853,7.179741,13.513291,1.478046,16.464615,3.454617,9.989407,0
1,Ec-00_000510.1,0,6.632921,8.050506,6.59407,0.93562,6.038729,6.503137,6.500175,0
6,Ec-00_000520.1,0,2.089764,4.062129,3.111866,9.272517,2.921352,1.719739,2.039767,0
1,Ec-00_000530.1,0,15.72669,18.180319,14.417178,1.144419,10.357776,14.438522,16.459346,0
11,Ec-00_000540.2,46.95495,50.557345,17.929756,46.530707,2.312515,116.305378,20.653217,26.809442,0.130951
1,Ec-00_000550.1,0,6.138734,6.477019,12.482401,0.10321,8.38234,3.904557,6.576142,0
9,Ec-00_000570.1,0,2.442168,9.661677,11.660512,0,10.667993,3.163998,10.737922,0
7,Ec-00_000590.1,0,28.440045,103.546789,107.441283,379.680939,48.359433,22.493116,65.863386,730.087542
7,Ec-00_000600.1,0,33.420819,68.483949,37.249825,1.504554,35.498976,25.726446,26.278326,0
11,Ec-00_000625.1,104.823863,34.671811,27.399294,7.403387,2.217497,6.582566,3.226848,4.437984,0
1,Ec-00_000630.1,0,0.068773,1.015741,0.385125,0.503944,0.065136,0.70701,3.833703,0
1,Ec-00_000640.1,0,27.872296,14.061617,10.568273,1.829527,11.633227,23.395026,16.006886,0
11,Ec-00_000650.2,0,0,0,20.203947,0,8.695891,0,0,0
1,Ec-00_000670.1,19.842519,285.030917,495.901045,96.035099,19.606384,77.314355,152.117264,155.59473,0
6,Ec-00_000680.1,0,5.537135,7.242786,18.628476,236.589281,7.451887,4.191133,8.799846,0
7,Ec-00_000690.1,0,15.493523,17.111426,31.679005,428.682496,12.450261,9.208544,14.993241,0
1,Ec-00_000720.1,0,12.111289,17.723516,15.072712,0.523194,8.136669,17.873542,15.016474,0
11,Ec-00_000740.2,324.198186,239.764003,95.296275,8.79626,8.336871,2.490195,7.441989,8.991191,1.64681
7,Ec-00_000750.1,0,0,0,0,0,0.448042,0,0,0
11,Ec-00_000760.2,0,0,0.178373,0,25.668875,0,0,0.236744,0
9,Ec-00_000770.1,0,2.271688,4.479331,7.077479,0.079554,7.154124,4.11171,3.427156,0
7,Ec-00_000810.1,0,13.126958,15.985967,10.143887,0,8.246076,8.590036,7.645505,0
1,Ec-00_000820.1,0,77.50189,62.645928,42.973098,23.464692,39.421647,62.673859,59.118491,0
3,Ec-00_000840.1,0,0,0,0,0,2.975529,0,0,0
7,Ec-00_000860.1,0,12.502027,18.886402,10.53727,15.645636,19.973348,13.197482,9.504616,0
11,Ec-00_000870.2,41.316336,1.535427,5.182913,9.266831,1.106457,5.629207,1.613198,17.959629,10.134964
1,Ec-00_000880.1,0,6.899909,5.516647,8.887236,2.5647,7.455895,3.886767,6.73775,0
1,Ec-00_000940.1,0.359496,25.146163,52.673408,52.394072,0.807819,26.263474,15.614511,27.753652,0.396258
1,Ec-00_000950.1,20.894825,75.781053,94.317113,77.41964,271.283606,65.239018,74.814533,82.145415,142.005454
1,Ec-00_000970.1,0.988678,8.564566,11.538711,11.676766,2.994274,7.098505,4.618021,8.718834,3.948861
1,Ec-00_000980.1,481.103852,72.838532,96.824306000000007,101.636331,2.952296,63.53504,40.308795,61.41198,0.246004
4,Ec-00_000990.1,0,0,0,0,0,0,0,0,0
1,Ec-00_001000.1,0,0.541758,11.875398,0.502647,1.498118,0.186928,0,14.150503,0
1,Ec-00_001020.1,13.78,24.7351,41.424393,34.990108,5.380458,25.327546,18.253187,30.51774,0
9,Ec-00_001030.1,0,0,12.774949,3.822552,81.999137,3.596451,0,3.669267,0
7,Ec-00_001070.1,0,3.630773,4.347094,7.531511,1.626474,6.464071,7.805961,5.942324,0
1,Ec-00_001080.1,0,12.411079,15.933671,14.554385,0.553743,10.564405,7.648539,14.146065,0.118912
7,Ec-00_001090.1,0,13.259957,27.313034,26.411827,0.555121,15.769833,10.348489,15.61342,0
5,Ec-00_001100.1,0.092883,3.370215,12.536151,5.774698,14.861046,4.063951,7.319206,15.822914,62.84579
1,Ec-00_001110.1,0,0.753409,16.36667,0.432317,2.137419,0,0,16.885077,0
2,Ec-00_001120.1,0,0.976158,17.662298,0.504851,1.386595,0,0,23.761659,0
1,Ec-00_001130.1,0,22.636541,17.572077,14.563959,0.541461,11.411681,12.643761,21.944977,0
2,Ec-00_001150.1,61.484533,4.431538,9.037002,35.523627,1.145043,8.016074,6.668408,13.994852,0
1,Ec-00_001160.1,0,7.827124,8.590477,11.337163,0.18454,6.800116,4.87665,8.321458,0
1,Ec-00_001170.2,0,82.934723,48.658548,86.543961,3.998027,41.346231,160.387425,63.436596,0
6,Ec-00_001190.1,0,30.172763,41.258171,23.521987,0.4497,11.874262,23.131021,19.365052,0
11,Ec-00_001210.1,0,0,8.061595,0,150.820389,0,3.095734,13.005943,0
1,Ec-00_001230.1,0,0,0,0,0,0,0,0,0
1,Ec-00_001240.1,286.127158,1273.604197,883.770448,2574.58079,50.575137,3902.751755,1261.80269,2225.983747,178.217836
1,Ec-00_001280.1,0,2.348244,3.186685,4.310044,1.019656,2.504905,1.441044,3.060273,0
7,Ec-00_001290.1,198.687684,17.44657,36.300091,29.272935,477.472043,26.279197,8.376689,40.580219,557.5584
1,Ec-00_001300.1,0,7.276539,15.990621,21.481198,15.761413,8.312708,4.809886,15.625601,0.361776
1,Ec-00_001310.1,28.859327,4.29977,6.747962,4.718741,0.38332,4.189411,3.851297,6.811402,117.415715
1,Ec-00_001320.1,0.633897,22.951244,7.871303,8.225556,12.024869,10.280208,25.048056,21.749664,0.097162
11,Ec-00_001330.1,0,0.16937,2.089636,0.341719,158.389324,0.663864,0,3.958375,144.818335
7,Ec-00_001340.1,8.612971,23.273329,104.863165,63.646504,1.284516,209.293912,51.502833,141.103012,0
1,Ec-00_001360.1,0.14919,58.394524,54.754647,80.674518,223.752893,34.860356,94.469236,47.937431,29.24168
2,Ec-00_001380.1,89.891679,14.452054,13.832742,7.33041,3.408075,6.404861,6.589505,14.734523,35.912862
4,Ec-00_001390.1,0,165.092863,312.312734,181.441318,13.909343,81.579526,128.179695,71.274557,0
1,Ec-00_001400.1,0,9.317205,24.391267,22.081463,0.425067,9.402163,8.056175,10.418833,0
1,Ec-00_001410.1,1.692627,11.077497,22.149335,23.580213,14.057797,21.797936,9.900638,13.418844,0.067902
1,Ec-00_001420.2,105.075886,8.273778,7.599124,9.67559,1.462611,7.46273,6.521347,11.444241,311.319798
1,Ec-00_001430.1,0,40.87535,13.955346,6.261235,62.198436,21.41404,39.175767,73.941661,0
1,Ec-00_001440.1,960.338921,102.3993,64.362271,100.279541,403.332084,194.204491,148.712016,187.637181,2655.629189
1,Ec-00_001450.1,0,35.253174,72.772488,83.538151,1.83887,50.044237,50.123962,44.114971,0
1,Ec-00_001460.1,41.195757,14.656662,39.031781,64.02103,377.232204,44.387897,19.334211,80.79248,119.606484
1,Ec-00_001490.1,24.412171,3.735255,5.556232,7.259666,0.507319,3.502774,3.682371,3.926811,47.098745
1,Ec-00_001500.1,0,49.376996,41.404259,32.537064,17.120238,37.788693,21.27798,69.920316,0
6,Ec-00_001510.1,0.111322,21.148968,26.928053,48.340157,0.690034,30.168728,19.652648,63.035639,0
10,Ec-00_001520.1,0,0,0.306619,0.226046,0.250188,1.010589,0,43.226802,0
7,Ec-00_001540.1,20.629589,8.334702,18.181085,20.008275,1.155501,9.993096,1.657645,5.429925,0.101994
1,Ec-00_001550.1,0,14.657464,33.643872,37.895264,368.098012,21.925122000000002,14.672402,19.104793,0
