GeneID,M_meiospore_low_1,M_meiospore_low_2,M_meiospore_low_3,F_meiospore_low_1,F_meiospore_low_2,F_meiospore_low_3,M_immGA_1,M_immGA_2,M_immGA_3,F_immGA_1,F_immGA_2,F_immGA_3,M_matGA_1,M_matGA_2,M_matGA_3,F_matGA_1,F_matGA_2,F_matGA_3,M_oldGA_R_1,M_oldGA_R_2,M_oldGA_R_3,F_oldGA_R_3,F_oldGA_R_1A,F_oldGA_R_2A,F_oldGA_R_1B,F_oldGA_R_2B,M_gamete_1,M_gamete_2,M_gamete_3,F_gamete_1,F_gamete_2,F_gamete_3,M_earlyPSP_1,M_earlyPSP_2,M_earlyPSP_3,F_earlyPSP_1,F_earlyPSP_2,F_immPSP_1,F_immPSP_2,F_immPSP_3,M_immPSP_1,M_immPSP_2,M_immPSP_3,M_matPSP_PaU_1,M_matPSP_PaU_2,M_matPSP_PaU_3,F_matPSP_PaU_1,F_matPSP_PaU_2,F_matPSP_PaU_3,M_mitospore_low_1,M_mitospore_low_2,M_mitospore_low_3,F_mitospore_low_1,F_mitospore_low_2,mitospore_low_1,mitospore_low_2,mitospore_low_3
Ec-00_000010.1,0,0,0,0,0,0,24.958739,25.407295,31.818404,0,0,0.083126,0,0,0,0.112153,0,0,3.756725,12.62114,9.447753,0,0,0,0.227648,0,2.037743,0,0.269399,0,0.255418,0,6.519922,7.745765,0.417237,0,0,0,0,0,0,0.516582,0.635156,0,0.163064,0,0,0,0.090512,0,0,0,0,0,0,0,0
Ec-00_000110.1,1.348312,0,0,0,0,0,10.726474,9.997962,8.947484,15.242598,14.442543,12.866658,19.63555,13.462327,13.397866,16.918596,11.085852,7.399615,10.452807,11.544261,9.666114,18.066451,16.668257,16.655401,28.151605,22.589554,5.604919,5.365101,3.94945,6.327832,4.529035,4.102839,18.541318,18.482138,81.987383,65.853564,63.109058,18.556128,20.139737,13.731922,28.937405,26.139259,21.481217,24.306979,27.451627,33.152377,14.355904,18.207969,13.519994,0,89.132181,0,0,0,0,18.882259,0.325574
Ec-00_000120.1,0,0,0,0,0,0,31.529931,24.18395,20.468409,25.144098,25.506782,21.415952,48.237584,52.626315,68.022559,25.632691,19.041079,13.842977,37.270293,31.53472,17.585288,23.472558,23.123339,20.437212,31.866402,32.898103,48.82451,18.099861,50.890321,74.097741,96.013069,75.780126,15.170824,12.770226,18.855876,18.34331,16.262826,20.940489,37.169363,19.958079,17.116293,11.721945,23.727665,7.66975,17.784685,18.475784,17.610764,24.181826,10.656468,0,0,0,0,0,0,0,0
Ec-00_000130.1,0,0,0,0,0,0,138.580809,137.522642,133.389744,74.39012,95.188692,91.691412,397.821462,339.935292,333.168293,186.028141,130.168104,118.914196,148.632695,159.63271,125.576913,230.905345,125.71039,211.087946,101.76952,108.62058,22.57386,1.322733,3.98877,4.891295,0.664805,0.581442,25.098231,21.775993,29.530769,93.344676,100.127971,60.512859,78.626756,71.845455,205.476878,228.751994,229.57241,106.662279,102.367639,117.549086,143.502865,129.251522,132.141989,0,0,0,0,0,0,0,0
Ec-00_000140.1,0,0.056103,0,0.101483,0.065078,0,3.444245,3.577357,4.541565,2.721923,3.854246,2.330136,9.222819,8.009963,7.726016,4.550095,2.957902,1.948248,8.49378,7.504026,9.621993,4.726951,5.910912,4.633287,3.217779,2.588161,5.754887,3.790375,4.1067,6.921553,6.659,5.734628,12.040523,12.483557,7.272583,6.901672,6.833517,2.471795,2.725313,2.413709,2.398937,1.860627,2.401888,6.195404,7.70875,9.832223,10.113578,7.731205,6.784316,0,0,0,0,0,0,0,0.201323
Ec-00_000160.1,0,0,0,0,4.981346,0,55.519064,56.723845,53.462417,37.381036,35.334043,31.341792,47.787703,32.728791,33.826902,40.272027,49.803449,45.717889,28.183053,26.457304,21.572617,15.953297,14.970737,20.177295,41.249572,35.164738,5.14996,0.255236,2.307598,2.122571,0.491434,0,16.3391,22.50146,32.743149,74.376556,82.895506,26.339099,27.125315,22.148536,94.678157,82.96946,84.516584,32.181714,33.071036,33.251737,36.03006,42.129988,36.407365,0,0,0,0,0,0,0,0
Ec-00_000190.1,0,0,0,0,0,0,3.257733,2.832794,3.198177,0.159585,0.488128,0.174156,6.076523,5.354302,4.037709,0.422568,0.205646,0.109334,8.498893,6.778001,7.857744,1.860514,0.809825,1.318796,3.384132,2.732114,8.063019,3.936112,5.059503,0.27086,0.096351,0.025982,4.380792,7.890998,5.33925,0.459136,0.501199,0.232583,0.272599,0.226879,2.049201,1.252245,2.024522,2.824739,3.833506,6.096449,4.385282,3.639927,1.682933,0,0,0.228218,0,0,0,0,0
Ec-00_000200.1,83.839915,248.392813,1.382736,88.496704,139.285783,334.617983,279.179606,266.912664,233.245251,305.629731,358.203711,247.432306,285.272597,308.552707,390.042332,265.044314,280.982263,230.638252,161.581464,173.72741,145.004281,280.803159,226.835123,263.620005,246.771342,214.501196,163.800062,163.938203,185.884062,294.71385,379.23473,301.263776,77.245877,87.142818,111.863701,88.533341,97.625558,277.802059,240.712244,241.638547,202.723061,205.295074,193.937728,110.15163,140.738828,111.079272,143.279242,157.170079,139.819757,0,272.722541,124.395039,0,0,125.204112,160.86593,86.317012
Ec-00_000210.1,0.153936,0,0,15.271989,0,0,35.618781,24.327548,27.4169,18.703899,25.258911,13.907374,29.812548,40.537458,26.549227,23.8825,11.82393,8.390675,32.922861,30.555779,35.000957,51.127492,43.851174,50.028946,46.474578,43.137096,73.176289,42.665317,66.675355,80.560768,75.216381,56.192074,42.655515,52.186484,46.479973,13.179646,15.654858,28.442966,33.425489,26.617222,34.072992,31.007983,37.389343,18.500207,26.23769,32.39501,22.085488,16.433476,14.707606,0,0.992716,0,0,17.744067,0,0,0
Ec-00_000230.1,0,10.504,0,48.877064,103.847331,0.293944,55.590897,60.638684,56.755554,51.511691,66.613447,49.223923,31.927651,37.594863,30.282618,30.854587,45.711208,37.493496,36.888671,40.875771,36.863132,111.670454,123.339154,117.271507,61.197155,66.277442,14.932873,14.520738,13.492158,11.966722,6.631591,7.098825,44.931864,36.299852,47.383879,12.158657,16.48587,121.396657,125.155312,132.948176,13.191746,12.667804,14.167916,71.757215,79.611769,80.474637,80.862253,78.813901,70.9717,201.372106,0.332632,317.737752,518.519416,103.845533,167.241113,182.832902,420.863341
