Orthogroup	Desmarestia-dudresnayi_BRAKER_proteins	Desmarestia-herbacea_MALE_proteins	PUBLIC_Ectocarpus-sp7_proteins	PUBLIC_Undaria-pinnatifida_MALE.pep	Schizocladia-ischiensis_proteins	Scytosiphon-promiscuus_MALE_proteins
OG0000000			Ec-03_001780.1, Ec-06_003620.1, Ec-08_001860.1, Ec-11_002260.1, Ec-13_002720.2, Ec-13_003890.1, Ec-13_003890.2, Ec-13_003890.3, Ec-13_003900.1, Ec-13_003900.2, Ec-13_003910.1, Ec-13_003910.3, Ec-13_003910.4, Ec-13_004120.1, Ec-13_004140.1, Ec-13_004190.1, Ec-13_004220.1, Ec-13_004220.2, Ec-13_004230.1, Ec-13_004340.1, Ec-13_004340.2, Ec-13_004340.3, Ec-13_004370.1, Ec-13_004370.2, Ec-13_004380.1, Ec-13_004410.2, Ec-13_004820.2, Ec-14_001110.1, Ec-17_002780.1, Ec-26_004870.2	Upin_00006183, Upin_00013472		prot_S-promiscuus_M_contig11.1488.1, prot_S-promiscuus_M_contig11.1495.1, prot_S-promiscuus_M_contig12.1909.1, prot_S-promiscuus_M_contig12.1912.1, prot_S-promiscuus_M_contig12.1913.1, prot_S-promiscuus_M_contig12.1914.1, prot_S-promiscuus_M_contig12.1915.1, prot_S-promiscuus_M_contig12.1916.1, prot_S-promiscuus_M_contig12.1917.1, prot_S-promiscuus_M_contig12.1923.1, prot_S-promiscuus_M_contig12.1924.1, prot_S-promiscuus_M_contig12.1946.1, prot_S-promiscuus_M_contig12.1947.1, prot_S-promiscuus_M_contig12.1948.1, prot_S-promiscuus_M_contig12.1950.1, prot_S-promiscuus_M_contig12.1957.1, prot_S-promiscuus_M_contig12.2094.1, prot_S-promiscuus_M_contig12.2106.1, prot_S-promiscuus_M_contig12.2118.1, prot_S-promiscuus_M_contig12.2119.1, prot_S-promiscuus_M_contig3.9222.1, prot_S-promiscuus_M_contig3.9241.1, prot_S-promiscuus_M_contig3.9243.1, prot_S-promiscuus_M_contig3.9422.1, prot_S-promiscuus_M_contig31.9961.1, prot_S-promiscuus_M_contig31.9962.1, prot_S-promiscuus_M_contig31.9982.1, prot_S-promiscuus_M_contig34.10580.1, prot_S-promiscuus_M_contig34.10610.1, prot_S-promiscuus_M_contig43.13348.1, prot_S-promiscuus_M_contig44.13527.1, prot_S-promiscuus_M_contig52.15259.1, prot_S-promiscuus_M_contig73.17668.1, prot_S-promiscuus_M_contig73.17669.1, prot_S-promiscuus_M_contig73.17670.1, prot_S-promiscuus_M_contig73.17672.1, prot_S-promiscuus_M_contig73.17673.1, prot_S-promiscuus_M_contig73.17674.1, prot_S-promiscuus_M_contig73.17675.1, prot_S-promiscuus_M_contig73.17676.1, prot_S-promiscuus_M_contig73.17679.1, prot_S-promiscuus_M_contig73.17680.1, prot_S-promiscuus_M_contig73.17681.1, prot_S-promiscuus_M_contig73.17682.1, prot_S-promiscuus_M_contig73.17683.1, prot_S-promiscuus_M_contig79.17812.1, prot_S-promiscuus_M_contig79.17813.1, prot_S-promiscuus_M_contig79.17814.1, prot_S-promiscuus_M_contig79.17815.1, prot_S-promiscuus_M_contig79.17820.1, prot_S-promiscuus_M_contig8.18290.1, prot_S-promiscuus_M_contig83.18553.1, prot_S-promiscuus_M_contig83.18554.1, prot_S-promiscuus_M_contig83.18557.1, prot_S-promiscuus_M_contig83.18558.1, prot_S-promiscuus_M_contig83.18559.1, prot_S-promiscuus_M_contig83.18561.1, prot_S-promiscuus_M_contig84.18562.1, prot_S-promiscuus_M_contig84.18564.1, prot_S-promiscuus_M_contig84.18565.1, prot_S-promiscuus_M_contig84.18568.1, prot_S-promiscuus_M_contig84.18569.1, prot_S-promiscuus_M_contig84.18570.1, prot_S-promiscuus_M_contig84.18571.1, prot_S-promiscuus_M_contig84.18572.1, prot_S-promiscuus_M_contig90.19136.1, prot_S-promiscuus_M_contig90.19137.1, prot_S-promiscuus_M_contig90.19138.1, prot_S-promiscuus_M_contig92.19144.1, prot_S-promiscuus_M_contig92.19145.1, prot_S-promiscuus_M_contig99.19215.1
OG0000001	Ddudresnayi_g12492.t1, Ddudresnayi_g14903.t1, Ddudresnayi_g14906.t1, Ddudresnayi_g15403.t1, Ddudresnayi_g17783.t1, Ddudresnayi_g17784.t1, Ddudresnayi_g19015.t1, Ddudresnayi_g21607.t1, Ddudresnayi_g21666.t1, Ddudresnayi_g25838.t1, Ddudresnayi_g25840.t1, Ddudresnayi_g28639.t1, Ddudresnayi_g29977.t1, Ddudresnayi_g9728.t1, Ddudresnayi_g9773.t1, Ddudresnayi_g9777.t1	prot_D-herbacea_M_contig184.4358.1, prot_D-herbacea_M_contig40.10277.1, prot_D-herbacea_M_contig8.14918.1	Ec-02_002540.2, Ec-03_000740.1, Ec-10_002030.1, Ec-10_002050.1, Ec-10_003070.1, Ec-11_002410.1, Ec-11_006310.1, Ec-22_002160.1, Ec-22_002180.2, Ec-26_006670.1	Upin_00000436, Upin_00001774, Upin_00007317, Upin_00007318, Upin_00007319, Upin_00007320, Upin_00007754, Upin_00007756, Upin_00007757, Upin_00007758, Upin_00007759, Upin_00007760, Upin_00008197, Upin_00009210, Upin_00015517, Upin_00016207, Upin_00016218, Upin_00018294, Upin_00018530, Upin_00022076, Upin_00026126	prot_S-ischiensis_contig65.17379.1	prot_S-promiscuus_M_contig1.205.1, prot_S-promiscuus_M_contig102.1310.1, prot_S-promiscuus_M_contig12.1868.1, prot_S-promiscuus_M_contig12.2039.1, prot_S-promiscuus_M_contig12.2083.1, prot_S-promiscuus_M_contig15.3390.1, prot_S-promiscuus_M_contig17.3774.1, prot_S-promiscuus_M_contig17.4036.1, prot_S-promiscuus_M_contig20.5798.1, prot_S-promiscuus_M_contig20.5910.1, prot_S-promiscuus_M_contig27.7904.1, prot_S-promiscuus_M_contig27.7963.1, prot_S-promiscuus_M_contig30.9650.1, prot_S-promiscuus_M_contig30.9654.1, prot_S-promiscuus_M_contig30.9710.1, prot_S-promiscuus_M_contig33.10392.1, prot_S-promiscuus_M_contig37.11430.1, prot_S-promiscuus_M_contig49.14185.1, prot_S-promiscuus_M_contig49.14187.1, prot_S-promiscuus_M_contig5.15002.1, prot_S-promiscuus_M_contig55.15579.1, prot_S-promiscuus_M_contig55.15580.1, prot_S-promiscuus_M_contig55.15581.1, prot_S-promiscuus_M_contig55.15583.1, prot_S-promiscuus_M_contig55.15584.1, prot_S-promiscuus_M_contig55.15585.1, prot_S-promiscuus_M_contig55.15591.1, prot_S-promiscuus_M_contig56.15677.1, prot_S-promiscuus_M_contig56.15678.1, prot_S-promiscuus_M_contig56.15679.1, prot_S-promiscuus_M_contig57.15727.1, prot_S-promiscuus_M_contig66.16903.1, prot_S-promiscuus_M_contig66.16904.1, prot_S-promiscuus_M_contig66.16905.1, prot_S-promiscuus_M_contig66.16906.1, prot_S-promiscuus_M_contig66.16907.1, prot_S-promiscuus_M_contig66.16908.1, prot_S-promiscuus_M_contig66.16909.1, prot_S-promiscuus_M_contig66.16910.1, prot_S-promiscuus_M_contig66.16911.1, prot_S-promiscuus_M_contig72.17656.1, prot_S-promiscuus_M_contig74.17687.1, prot_S-promiscuus_M_contig77.17785.1, prot_S-promiscuus_M_contig8.17825.1, prot_S-promiscuus_M_contig8.18288.1
OG0000002	Ddudresnayi_g29779.t1	prot_D-herbacea_M_contig107.719.1, prot_D-herbacea_M_contig107.753.1, prot_D-herbacea_M_contig108.785.1, prot_D-herbacea_M_contig13.1942.1, prot_D-herbacea_M_contig130.2017.1, prot_D-herbacea_M_contig144.2601.1, prot_D-herbacea_M_contig187.4404.1, prot_D-herbacea_M_contig19.4505.1, prot_D-herbacea_M_contig29.7820.1, prot_D-herbacea_M_contig360.9398.1, prot_D-herbacea_M_contig374.9601.1, prot_D-herbacea_M_contig70.14287.1	Ec-01_005160.1, Ec-04_000490.1, Ec-12_006350.2, Ec-12_006350.3, Ec-13_000920.2, Ec-13_002990.3, Ec-21_001380.1, Ec-21_003960.1, Ec-23_000010.2, Ec-26_001540.3, Ec-26_005130.1	Upin_00000593, Upin_00008900, Upin_00008901, Upin_00009021, Upin_00009028, Upin_00010089, Upin_00010381, Upin_00011426, Upin_00011451, Upin_00014304, Upin_00015545, Upin_00015702, Upin_00015757, Upin_00015758, Upin_00015866, Upin_00015877, Upin_00015906, Upin_00015926, Upin_00015966, Upin_00017901, Upin_00019563, Upin_00023858, Upin_00024529, Upin_00026218, Upin_00026336, Upin_00026418, Upin_00026451	prot_S-ischiensis_contig10.1652.1, prot_S-ischiensis_contig26.8192.1, prot_S-ischiensis_contig39.11733.1, prot_S-ischiensis_contig72.18585.1, prot_S-ischiensis_contig87.20255.1	prot_S-promiscuus_M_contig10.1208.1, prot_S-promiscuus_M_contig10.872.1, prot_S-promiscuus_M_contig14.2825.1, prot_S-promiscuus_M_contig14.2852.1, prot_S-promiscuus_M_contig15.3311.1, prot_S-promiscuus_M_contig15.3380.1, prot_S-promiscuus_M_contig15.3385.1, prot_S-promiscuus_M_contig15.3386.1, prot_S-promiscuus_M_contig15.3393.1, prot_S-promiscuus_M_contig15.3395.1, prot_S-promiscuus_M_contig15.3397.1, prot_S-promiscuus_M_contig15.3398.1, prot_S-promiscuus_M_contig15.3400.1, prot_S-promiscuus_M_contig17.3811.1, prot_S-promiscuus_M_contig25.7312.1, prot_S-promiscuus_M_contig25.7313.1, prot_S-promiscuus_M_contig25.7424.1, prot_S-promiscuus_M_contig25.7425.1, prot_S-promiscuus_M_contig25.7426.1, prot_S-promiscuus_M_contig25.7427.1, prot_S-promiscuus_M_contig25.7429.1, prot_S-promiscuus_M_contig25.7430.1, prot_S-promiscuus_M_contig25.7432.1, prot_S-promiscuus_M_contig26.7507.1, prot_S-promiscuus_M_contig35.10818.1, prot_S-promiscuus_M_contig53.15397.1, prot_S-promiscuus_M_contig69.16959.1, prot_S-promiscuus_M_contig69.16960.1, prot_S-promiscuus_M_contig69.16963.1, prot_S-promiscuus_M_contig69.16964.1, prot_S-promiscuus_M_contig69.16967.1, prot_S-promiscuus_M_contig69.16968.1, prot_S-promiscuus_M_contig69.16969.1, prot_S-promiscuus_M_contig69.16970.1, prot_S-promiscuus_M_contig69.16971.1, prot_S-promiscuus_M_contig69.16972.1
OG0000003	Ddudresnayi_g23965.t1, Ddudresnayi_g28766.t1, Ddudresnayi_g28785.t1, Ddudresnayi_g30506.t1, Ddudresnayi_g4014.t1, Ddudresnayi_g7107.t1, Ddudresnayi_g8136.t1	prot_D-herbacea_M_contig1014.446.1, prot_D-herbacea_M_contig1014.447.1, prot_D-herbacea_M_contig25.6658.1, prot_D-herbacea_M_contig302.8225.1, prot_D-herbacea_M_contig341.9044.1, prot_D-herbacea_M_contig49.11601.1, prot_D-herbacea_M_contig49.11602.1, prot_D-herbacea_M_contig49.11603.1, prot_D-herbacea_M_contig60.13351.1, prot_D-herbacea_M_contig60.13352.1, prot_D-herbacea_M_contig60.13353.1, prot_D-herbacea_M_contig60.13354.1, prot_D-herbacea_M_contig60.13366.1, prot_D-herbacea_M_contig60.13367.1, prot_D-herbacea_M_contig60.13368.1, prot_D-herbacea_M_contig60.13369.1, prot_D-herbacea_M_contig60.13370.1	Ec-00_006370.1, Ec-00_006370.2, Ec-00_006380.1, Ec-00_006380.2, Ec-11_000400.1, Ec-18_000130.1, Ec-18_000140.2, Ec-18_000150.1, Ec-24_001130.1, Ec-24_001140.1, Ec-24_001140.2	Upin_00000212, Upin_00004605, Upin_00004606, Upin_00004607, Upin_00004608, Upin_00004611, Upin_00004612, Upin_00004613, Upin_00004614, Upin_00004618, Upin_00004620, Upin_00004831, Upin_00004835, Upin_00004836, Upin_00004837, Upin_00004838, Upin_00004839, Upin_00004847, Upin_00005041, Upin_00010623, Upin_00010624, Upin_00010625, Upin_00010626, Upin_00011045, Upin_00011046, Upin_00011047, Upin_00011048, Upin_00011049, Upin_00011050, Upin_00011051, Upin_00011483, Upin_00011484, Upin_00011485, Upin_00011486, Upin_00011487	prot_S-ischiensis_contig1.582.1, prot_S-ischiensis_contig1.929.1, prot_S-ischiensis_contig17.4367.1, prot_S-ischiensis_contig17.4368.1, prot_S-ischiensis_contig35.10846.1, prot_S-ischiensis_contig35.10847.1, prot_S-ischiensis_contig40.12309.1	prot_S-promiscuus_M_contig30.9739.1, prot_S-promiscuus_M_contig52.15328.1, prot_S-promiscuus_M_contig60.16623.1
OG0000004	Ddudresnayi_g21027.t1, Ddudresnayi_g21042.t1, Ddudresnayi_g24894.t1, Ddudresnayi_g28497.t1, Ddudresnayi_g28567.t1	prot_D-herbacea_M_contig11.922.1, prot_D-herbacea_M_contig117.1364.1, prot_D-herbacea_M_contig124.1698.1, prot_D-herbacea_M_contig186.4394.1, prot_D-herbacea_M_contig22.5859.1, prot_D-herbacea_M_contig25.6706.1, prot_D-herbacea_M_contig25.6707.1, prot_D-herbacea_M_contig264.7126.1, prot_D-herbacea_M_contig330.8894.1, prot_D-herbacea_M_contig46.11214.1, prot_D-herbacea_M_contig75.14625.1, prot_D-herbacea_M_contig96.16045.1, prot_D-herbacea_M_contig96.16051.1	Ec-05_005290.1, Ec-05_005290.2, Ec-05_005290.3, Ec-13_000760.1, Ec-13_001200.1, Ec-13_004050.1, Ec-13_004310.1, Ec-15_004360.1, Ec-15_004360.2, Ec-15_004500.1, Ec-25_001630.1	Upin_00009044, Upin_00010133, Upin_00010145, Upin_00011062, Upin_00013242		prot_S-promiscuus_M_contig1.13.1, prot_S-promiscuus_M_contig1.14.1, prot_S-promiscuus_M_contig1.17.1, prot_S-promiscuus_M_contig1.18.1, prot_S-promiscuus_M_contig1.19.1, prot_S-promiscuus_M_contig1.2.1, prot_S-promiscuus_M_contig1.20.1, prot_S-promiscuus_M_contig1.210.1, prot_S-promiscuus_M_contig1.22.1, prot_S-promiscuus_M_contig1.3.1, prot_S-promiscuus_M_contig1.301.1, prot_S-promiscuus_M_contig1.303.1, prot_S-promiscuus_M_contig1.304.1, prot_S-promiscuus_M_contig1.4.1, prot_S-promiscuus_M_contig1.5.1, prot_S-promiscuus_M_contig1.56.1, prot_S-promiscuus_M_contig1.6.1, prot_S-promiscuus_M_contig1.62.1, prot_S-promiscuus_M_contig1.66.1, prot_S-promiscuus_M_contig106.1326.1, prot_S-promiscuus_M_contig106.1327.1, prot_S-promiscuus_M_contig11.1358.1, prot_S-promiscuus_M_contig12.1851.1, prot_S-promiscuus_M_contig12.1874.1, prot_S-promiscuus_M_contig12.1974.1, prot_S-promiscuus_M_contig16.3574.1, prot_S-promiscuus_M_contig17.3847.1, prot_S-promiscuus_M_contig26.7712.1, prot_S-promiscuus_M_contig51.15169.1, prot_S-promiscuus_M_contig63.16800.1, prot_S-promiscuus_M_contig66.16884.1, prot_S-promiscuus_M_contig66.16885.1, prot_S-promiscuus_M_contig66.16916.1, prot_S-promiscuus_M_contig68.16945.1, prot_S-promiscuus_M_contig68.16946.1, prot_S-promiscuus_M_contig68.16951.1, prot_S-promiscuus_M_contig68.16955.1, prot_S-promiscuus_M_contig68.16956.1, prot_S-promiscuus_M_contig72.17643.1, prot_S-promiscuus_M_contig72.17645.1, prot_S-promiscuus_M_contig72.17646.1, prot_S-promiscuus_M_contig82.18545.1, prot_S-promiscuus_M_contig82.18546.1, prot_S-promiscuus_M_contig82.18550.1, prot_S-promiscuus_M_contig9.19060.1
OG0000005	Ddudresnayi_g11013.t1, Ddudresnayi_g11014.t1, Ddudresnayi_g12538.t1, Ddudresnayi_g12548.t1, Ddudresnayi_g18502.t1, Ddudresnayi_g18693.t1, Ddudresnayi_g18783.t1, Ddudresnayi_g19451.t1, Ddudresnayi_g1970.t1, Ddudresnayi_g1976.t1, Ddudresnayi_g1977.t1, Ddudresnayi_g20733.t1, Ddudresnayi_g21150.t1, Ddudresnayi_g21151.t1, Ddudresnayi_g21152.t1, Ddudresnayi_g21153.t1, Ddudresnayi_g21154.t1, Ddudresnayi_g21383.t1, Ddudresnayi_g21428.t1, Ddudresnayi_g21680.t1, Ddudresnayi_g22282.t1, Ddudresnayi_g22362.t1, Ddudresnayi_g2426.t1, Ddudresnayi_g2431.t1, Ddudresnayi_g2436.t1, Ddudresnayi_g2438.t1, Ddudresnayi_g2442.t1, Ddudresnayi_g2443.t1, Ddudresnayi_g24493.t1, Ddudresnayi_g25396.t1, Ddudresnayi_g25397.t1, Ddudresnayi_g25416.t1, Ddudresnayi_g26037.t1, Ddudresnayi_g26219.t1, Ddudresnayi_g26222.t1, Ddudresnayi_g2765.t1, Ddudresnayi_g2770.t1, Ddudresnayi_g2771.t1, Ddudresnayi_g3431.t1, Ddudresnayi_g3432.t1, Ddudresnayi_g4173.t1, Ddudresnayi_g4192.t1, Ddudresnayi_g4193.t1, Ddudresnayi_g4194.t1, Ddudresnayi_g4201.t1, Ddudresnayi_g4202.t1, Ddudresnayi_g4203.t1, Ddudresnayi_g4205.t1, Ddudresnayi_g4226.t1, Ddudresnayi_g4229.t1, Ddudresnayi_g4230.t1, Ddudresnayi_g5238.t1, Ddudresnayi_g5265.t1, Ddudresnayi_g5382.t1, Ddudresnayi_g5383.t1, Ddudresnayi_g6501.t1, Ddudresnayi_g6579.t1, Ddudresnayi_g6596.t1, Ddudresnayi_g6610.t1, Ddudresnayi_g7213.t1, Ddudresnayi_g7506.t1, Ddudresnayi_g7509.t1, Ddudresnayi_g7510.t1, Ddudresnayi_g7720.t1, Ddudresnayi_g7721.t1, Ddudresnayi_g7722.t1, Ddudresnayi_g7785.t1, Ddudresnayi_g7787.t1, Ddudresnayi_g7848.t1, Ddudresnayi_g7850.t1, Ddudresnayi_g7851.t1, Ddudresnayi_g7884.t1, Ddudresnayi_g7902.t1, Ddudresnayi_g7903.t1, Ddudresnayi_g8323.t1					
OG0000006	Ddudresnayi_g11653.t1, Ddudresnayi_g12673.t1, Ddudresnayi_g12674.t1, Ddudresnayi_g12675.t1, Ddudresnayi_g12683.t1, Ddudresnayi_g14971.t1, Ddudresnayi_g22042.t1, Ddudresnayi_g23607.t1, Ddudresnayi_g30087.t1, Ddudresnayi_g30148.t1, Ddudresnayi_g30190.t1, Ddudresnayi_g317.t1	prot_D-herbacea_M_contig12.1419.1, prot_D-herbacea_M_contig12.1420.1, prot_D-herbacea_M_contig158.3204.1, prot_D-herbacea_M_contig158.3205.1, prot_D-herbacea_M_contig162.3482.1, prot_D-herbacea_M_contig190.4534.1, prot_D-herbacea_M_contig4.10133.1, prot_D-herbacea_M_contig46.11235.1	Ec-03_002340.1, Ec-04_005710.1, Ec-05_003820.1, Ec-07_001540.1, Ec-18_000630.1, Ec-18_003670.1, Ec-28_003050.1, Ec-28_003050.2	Upin_00000595, Upin_00000606, Upin_00009345, Upin_00011491, Upin_00019052, Upin_00019668, Upin_00019669, Upin_00025422	prot_S-ischiensis_contig1.1209.1, prot_S-ischiensis_contig1.194.1, prot_S-ischiensis_contig1.195.1, prot_S-ischiensis_contig1.260.1, prot_S-ischiensis_contig1.444.1, prot_S-ischiensis_contig101.1723.1, prot_S-ischiensis_contig13.3101.1, prot_S-ischiensis_contig19.5028.1, prot_S-ischiensis_contig20.5905.1, prot_S-ischiensis_contig22.6677.1, prot_S-ischiensis_contig26.7973.1, prot_S-ischiensis_contig26.7974.1, prot_S-ischiensis_contig26.7975.1, prot_S-ischiensis_contig26.8026.1, prot_S-ischiensis_contig3.9544.1, prot_S-ischiensis_contig3.9545.1, prot_S-ischiensis_contig35.10936.1, prot_S-ischiensis_contig4.11936.1, prot_S-ischiensis_contig5.14194.1, prot_S-ischiensis_contig5.14195.1, prot_S-ischiensis_contig5.14196.1, prot_S-ischiensis_contig5.14375.1, prot_S-ischiensis_contig50.14609.1, prot_S-ischiensis_contig52.14971.1, prot_S-ischiensis_contig57.15731.1, prot_S-ischiensis_contig62.17038.1, prot_S-ischiensis_contig7.17937.1, prot_S-ischiensis_contig7.18161.1, prot_S-ischiensis_contig7.18162.1, prot_S-ischiensis_contig88.20311.1, prot_S-ischiensis_contig9.20537.1, prot_S-ischiensis_contig93.20981.1, prot_S-ischiensis_contig93.20982.1	prot_S-promiscuus_M_contig18.4211.1, prot_S-promiscuus_M_contig31.9857.1, prot_S-promiscuus_M_contig53.15360.1, prot_S-promiscuus_M_contig53.15367.1, prot_S-promiscuus_M_contig7.17080.1
OG0000007	Ddudresnayi_g14863.t1, Ddudresnayi_g14865.t1, Ddudresnayi_g29240.t1	prot_D-herbacea_M_contig139.2316.1, prot_D-herbacea_M_contig139.2331.1, prot_D-herbacea_M_contig269.7255.1, prot_D-herbacea_M_contig306.8285.1, prot_D-herbacea_M_contig33.8877.1, prot_D-herbacea_M_contig33.8878.1, prot_D-herbacea_M_contig35.9191.1, prot_D-herbacea_M_contig35.9192.1, prot_D-herbacea_M_contig531.12417.1, prot_D-herbacea_M_contig577.12955.1, prot_D-herbacea_M_contig653.13777.1, prot_D-herbacea_M_contig841.15325.1, prot_D-herbacea_M_contig867.15467.1, prot_D-herbacea_M_contig889.15551.1	Ec-00_005680.1, Ec-00_006900.1, Ec-00_009390.1, Ec-01_010220.1, Ec-09_004230.1, Ec-09_004230.3, Ec-09_004230.4, Ec-09_004260.1, Ec-09_004570.1, Ec-09_004570.3, Ec-14_005160.1, Ec-20_001980.1, Ec-20_002700.1, Ec-21_001490.1, Ec-23_004040.1, Ec-24_000710.1, Ec-25_002430.1	Upin_00025408, Upin_00027728, Upin_00028073	prot_S-ischiensis_contig88.20326.1	prot_S-promiscuus_M_contig1.91.1, prot_S-promiscuus_M_contig11.1659.1, prot_S-promiscuus_M_contig22.6387.1, prot_S-promiscuus_M_contig24.7068.1, prot_S-promiscuus_M_contig24.7070.1, prot_S-promiscuus_M_contig26.7585.1, prot_S-promiscuus_M_contig26.7586.1, prot_S-promiscuus_M_contig26.7587.1, prot_S-promiscuus_M_contig26.7589.1, prot_S-promiscuus_M_contig26.7598.1, prot_S-promiscuus_M_contig27.7912.1, prot_S-promiscuus_M_contig31.9995.1, prot_S-promiscuus_M_contig31.9996.1, prot_S-promiscuus_M_contig31.9998.1, prot_S-promiscuus_M_contig34.10634.1, prot_S-promiscuus_M_contig34.10636.1, prot_S-promiscuus_M_contig34.10637.1, prot_S-promiscuus_M_contig34.10660.1, prot_S-promiscuus_M_contig34.10661.1, prot_S-promiscuus_M_contig34.10663.1, prot_S-promiscuus_M_contig34.10666.1, prot_S-promiscuus_M_contig34.10667.1, prot_S-promiscuus_M_contig34.10668.1, prot_S-promiscuus_M_contig35.10843.1, prot_S-promiscuus_M_contig35.10844.1, prot_S-promiscuus_M_contig35.10845.1, prot_S-promiscuus_M_contig35.10860.1, prot_S-promiscuus_M_contig35.10861.1, prot_S-promiscuus_M_contig35.10862.1, prot_S-promiscuus_M_contig38.11697.1, prot_S-promiscuus_M_contig51.15234.1, prot_S-promiscuus_M_contig58.15800.1, prot_S-promiscuus_M_contig58.15801.1
OG0000008	Ddudresnayi_g28735.t1, Ddudresnayi_g28736.t1	prot_D-herbacea_M_contig613.13473.1, prot_D-herbacea_M_contig74.14542.1	Ec-00_002480.1, Ec-00_007630.1, Ec-00_008800.1, Ec-03_001980.1, Ec-03_002000.1, Ec-03_002270.1, Ec-05_006290.1, Ec-10_004580.1, Ec-19_004360.1, Ec-19_004360.3, Ec-19_004380.1, Ec-19_004380.2, Ec-19_004380.3, Ec-19_004380.4, Ec-19_004380.5, Ec-19_004380.6, Ec-23_001740.1, Ec-23_001740.2, Ec-23_001740.3, Ec-23_001740.4, Ec-23_001740.5, Ec-23_001750.1, Ec-23_003690.1, Ec-23_003700.1, Ec-23_003740.1, Ec-23_003820.1, Ec-23_003840.1, Ec-23_003860.1	Upin_00009203, Upin_00009204, Upin_00009319, Upin_00009346, Upin_00009347, Upin_00009350, Upin_00025484, Upin_00025485, Upin_00025488, Upin_00025618, Upin_00025619, Upin_00025620, Upin_00025621, Upin_00025622, Upin_00025623, Upin_00025624, Upin_00025625, Upin_00025626, Upin_00025627, Upin_00025633, Upin_00025796, Upin_00025798, Upin_00025946, Upin_00026039, Upin_00026041, Upin_00026081		prot_S-promiscuus_M_contig19.4676.1, prot_S-promiscuus_M_contig21.6000.1, prot_S-promiscuus_M_contig40.12814.1, prot_S-promiscuus_M_contig40.12817.1, prot_S-promiscuus_M_contig40.12819.1, prot_S-promiscuus_M_contig40.12820.1, prot_S-promiscuus_M_contig7.17493.1, prot_S-promiscuus_M_contig9.18903.1
OG0000009	Ddudresnayi_g10248.t1, Ddudresnayi_g10249.t1, Ddudresnayi_g10284.t1, Ddudresnayi_g10285.t1, Ddudresnayi_g13357.t1, Ddudresnayi_g13360.t1, Ddudresnayi_g13362.t1, Ddudresnayi_g13367.t1, Ddudresnayi_g13369.t1, Ddudresnayi_g13372.t1, Ddudresnayi_g1402.t1, Ddudresnayi_g31757.t1, Ddudresnayi_g31759.t1, Ddudresnayi_g31761.t1, Ddudresnayi_g31762.t1, Ddudresnayi_g31841.t1, Ddudresnayi_g31842.t1	prot_D-herbacea_M_contig151.2972.1, prot_D-herbacea_M_contig38.9756.1, prot_D-herbacea_M_contig83.15258.1, prot_D-herbacea_M_contig83.15259.1, prot_D-herbacea_M_contig83.15260.1, prot_D-herbacea_M_contig90.15721.1, prot_D-herbacea_M_contig90.15722.1, prot_D-herbacea_M_contig90.15723.1	Ec-08_000860.1, Ec-08_000860.2, Ec-08_000900.1, Ec-08_000900.3, Ec-08_000900.4, Ec-08_000910.1, Ec-08_000930.1, Ec-08_000930.2, Ec-08_000930.3, Ec-08_000940.1	Upin_00015404, Upin_00015528, Upin_00016632, Upin_00016639, Upin_00016642, Upin_00016644, Upin_00016647, Upin_00016650, Upin_00017019, Upin_00017021, Upin_00017022, Upin_00017023, Upin_00017024, Upin_00017025, Upin_00020346, Upin_00020347, Upin_00022803, Upin_00026476, Upin_00026770	prot_S-ischiensis_contig36.11166.1, prot_S-ischiensis_contig6.16524.1, prot_S-ischiensis_contig6.16527.1, prot_S-ischiensis_contig6.16528.1	prot_S-promiscuus_M_contig22.6568.1, prot_S-promiscuus_M_contig22.6569.1, prot_S-promiscuus_M_contig22.6572.1, prot_S-promiscuus_M_contig22.6573.1, prot_S-promiscuus_M_contig22.6579.1
